LSOACode,LSOAName,MSOACode,MSOAName,LocalAuthority,HealthAuthority,ClinicalCommissioningGroup,County_UnitaryAuthority,PoliceForceArea,Country,LSOAAreas.lsoa11cd,LSOAAreas.LSOA_Area,LSOA Names and Codes by Community Area.LSOA Name,LSOA Names and Codes by Community Area.LSOA Name Cy,LSOA Names and Codes by Community Area.LSOA Code,LSOA Names and Codes by Community Area.Community Area,LSOA Names and Codes by Community Area.Mapping
W01000446,Powys 015D,W02000111,Powys 015,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000446,1500448.653,,,,,
W01000447,Powys 007C,W02000103,Powys 007,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000447,88181371.09,,,,,
W01000448,Powys 011B,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000448,14384645.02,,,,,
W01000449,Powys 011C,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000449,11828201.17,,,,,
W01000450,Powys 014C,W02000110,Powys 014,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000450,223524167.5,,,,,
W01000451,Powys 012B,W02000108,Powys 012,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000451,51727783.11,,,,,
W01000452,Powys 004B,W02000100,Powys 004,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000452,282769597.6,,,,,
W01000453,Powys 010B,W02000106,Powys 010,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000453,96798772.44,,,,,
W01000454,Powys 013A,W02000109,Powys 013,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000454,1017473.757,,,,,
W01000455,Powys 013B,W02000109,Powys 013,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000455,3523294.632,,,,,
W01000456,Powys 013C,W02000109,Powys 013,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000456,8134401.652,,,,,
W01000457,Powys 002B,W02000098,Powys 002,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000457,44093957.93,,,,,
W01000458,Powys 002C,W02000098,Powys 002,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000458,18870816.7,,,,,
W01000459,Powys 014D,W02000110,Powys 014,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000459,118017632,,,,,
W01000460,Powys 006B,W02000102,Powys 006,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000460,62541103.44,,,,,
W01000461,Powys 001A,W02000097,Powys 001,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000461,41776178.24,,,,,
W01000464,Powys 011D,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000464,130600937.7,,,,,
W01000465,Powys 018E,W02000114,Powys 018,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000465,49448506.59,,,,,
W01000466,Powys 010C,W02000106,Powys 010,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000466,1752490.572,,,,,
W01000467,Powys 010D,W02000106,Powys 010,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000467,3643889.658,,,,,
W01000470,Powys 001D,W02000097,Powys 001,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000470,41877178.72,,,,,
W01000471,Powys 014E,W02000110,Powys 014,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000471,239698632.9,,,,,
W01000472,Powys 012C,W02000108,Powys 012,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000472,29895245.61,,,,,
W01000473,Powys 004C,W02000100,Powys 004,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000473,5058029.47,,,,,
W01000474,Powys 020B,W02000414,Powys 020,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000474,254509164.6,,,,,
W01000475,Powys 001E,W02000097,Powys 001,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000475,135590454,,,,,
W01000476,Powys 005C,W02000101,Powys 005,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000476,13579897.96,,,,,
W01000477,Powys 012D,W02000108,Powys 012,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000477,188804289.3,,,,,
W01000478,Powys 009A,W02000105,Powys 009,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000478,386818.4626,,,,,
W01000479,Powys 009B,W02000105,Powys 009,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000479,512467.6563,,,,,
W01000480,Powys 008A,W02000104,Powys 008,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000480,7994177.955,,,,,
W01000481,Powys 008B,W02000104,Powys 008,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000481,7035296.081,,,,,
W01000482,Powys 008C,W02000104,Powys 008,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000482,8162323.015,,,,,
W01000483,Powys 009C,W02000105,Powys 009,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000483,2993722.56,,,,,
W01000484,Powys 011E,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000484,153573032.6,,,,,
W01000485,Powys 011F,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000485,20829189.22,,,,,
W01000486,Powys 011G,W02000107,Powys 011,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000486,4135992.651,,,,,
W01000487,Powys 012E,W02000108,Powys 012,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000487,139417713.1,,,,,
W01000488,Powys 006C,W02000102,Powys 006,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000488,109220184.3,,,,,
W01000489,Powys 017A,W02000113,Powys 017,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000489,3227215.932,,,,,
W01000492,Powys 017D,W02000113,Powys 017,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000492,758387.4079,,,,,
W01000493,Powys 017E,W02000113,Powys 017,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000493,4795545.633,,,,,
W01000494,Powys 015E,W02000111,Powys 015,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000494,55300273.64,,,,,
W01000496,Powys 021B,W02000416,Powys 021,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000496,112428839.3,,,,,
W01000497,Powys 005D,W02000101,Powys 005,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000497,32155730.9,,,,,
W01000498,Powys 003A,W02000099,Powys 003,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000498,17957557.58,,,,,
W01000499,Powys 003B,W02000099,Powys 003,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000499,1821251.1,,,,,
W01000500,Powys 003C,W02000099,Powys 003,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000500,12238819.27,,,,,
W01000501,Powys 003D,W02000099,Powys 003,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000501,6968842.141,,,,,
W01000502,Powys 021C,W02000416,Powys 021,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000502,3800831.89,,,,,
W01000503,Powys 020C,W02000414,Powys 020,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000503,153429016.7,,,,,
W01000504,Powys 021D,W02000416,Powys 021,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000504,386226.1842,,,,,
W01000505,Powys 021E,W02000416,Powys 021,Powys,Powys Teaching Health Board,Powys Teaching Health Board,Powys,Dyfed-Powys,Wales,W01000505,28179974.55,,,,,
W01000506,Ceredigion 005A,W02000120,Ceredigion 005,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000506,1586996.972,,,,,
W01000507,Ceredigion 009A,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000507,12924561.96,,,,,
W01000508,Ceredigion 009B,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000508,3527723.229,,,,,
W01000509,Ceredigion 009C,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000509,6132204.17,,,,,
W01000510,Ceredigion 009D,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000510,2045464.194,,,,,
W01000511,Ceredigion 009E,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000511,4773118.319,,,,,
W01000512,Ceredigion 002A,W02000117,Ceredigion 002,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000512,555752.2494,,,,,
W01000513,Ceredigion 002B,W02000117,Ceredigion 002,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000513,302157.9588,,,,,
W01000515,Ceredigion 003A,W02000118,Ceredigion 003,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000515,1175441.237,,,,,
W01000516,Ceredigion 003B,W02000118,Ceredigion 003,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000516,729882.256,,,,,
W01000517,Ceredigion 002D,W02000117,Ceredigion 002,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000517,164732.3062,,,,,
W01000518,Ceredigion 003C,W02000118,Ceredigion 003,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000518,668640.8633,,,,,
W01000519,Ceredigion 010A,W02000125,Ceredigion 010,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000519,50640712.24,,,,,
W01000522,Ceredigion 010B,W02000125,Ceredigion 010,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000522,60822317.92,,,,,
W01000523,Ceredigion 001C,W02000116,Ceredigion 001,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000523,127560264.5,,,,,
W01000524,Ceredigion 005B,W02000120,Ceredigion 005,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000524,40063637.66,,,,,
W01000525,Ceredigion 011A,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000525,3275734.896,,,,,
W01000527,Ceredigion 008A,W02000123,Ceredigion 008,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000527,952859.5458,,,,,
W01000528,Ceredigion 008B,W02000123,Ceredigion 008,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000528,11695326.95,,,,,
W01000529,Ceredigion 007A,W02000122,Ceredigion 007,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000529,45936024.19,,,,,
W01000531,Ceredigion 010C,W02000125,Ceredigion 010,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000531,29831402.05,,,,,
W01000532,Ceredigion 007B,W02000122,Ceredigion 007,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000532,66719018.68,,,,,
W01000533,Ceredigion 010D,W02000125,Ceredigion 010,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000533,5881629.884,,,,,
W01000534,Ceredigion 011B,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000534,33525864.19,,,,,
W01000535,Ceredigion 008C,W02000123,Ceredigion 008,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000535,74100621.64,,,,,
W01000536,Ceredigion 011E,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000536,151720215.3,,,,,
W01000537,Ceredigion 008D,W02000123,Ceredigion 008,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000537,72805109.27,,,,,
W01000538,Ceredigion 005C,W02000120,Ceredigion 005,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000538,59654248.26,,,,,
W01000539,Ceredigion 005D,W02000120,Ceredigion 005,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000539,47498116.66,,,,,
W01000540,Ceredigion 005E,W02000120,Ceredigion 005,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000540,12662559.06,,,,,
W01000541,Ceredigion 008E,W02000123,Ceredigion 008,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000541,68440517.31,,,,,
W01000542,Ceredigion 011F,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000542,223717843,,,,,
W01000543,Ceredigion 011C,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000543,199682568.3,,,,,
W01000544,Ceredigion 007C,W02000122,Ceredigion 007,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000544,2299522.471,,,,,
W01000545,Ceredigion 007D,W02000122,Ceredigion 007,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000545,53259001.48,,,,,
W01000546,Ceredigion 009F,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000546,19284128.64,,,,,
W01000547,Ceredigion 009G,W02000124,Ceredigion 009,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000547,28159721.78,,,,,
W01000548,Ceredigion 001D,W02000116,Ceredigion 001,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000548,14547456.18,,,,,
W01000549,Ceredigion 001E,W02000116,Ceredigion 001,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000549,26137899.84,,,,,
W01000550,Ceredigion 011G,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000550,86400967.03,,,,,
W01000551,Ceredigion 010E,W02000125,Ceredigion 010,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000551,32610849.26,,,,,
W01000552,Ceredigion 011D,W02000421,Ceredigion 011,Ceredigion,Hywel Dda University Health Board,Hywel Dda University Health Board,Ceredigion,Dyfed-Powys,Wales,W01000552,71131569.85,,,,,
W01000553,Pembrokeshire 011A,W02000136,Pembrokeshire 011,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000553,18200262.08,,,,,
W01000554,Pembrokeshire 009A,W02000134,Pembrokeshire 009,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000554,20538765.8,,,,,
W01000555,Pembrokeshire 008A,W02000133,Pembrokeshire 008,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000555,45346265.41,,,,,
W01000556,Pembrokeshire 008B,W02000133,Pembrokeshire 008,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000556,25107342.87,,,,,
W01000557,Pembrokeshire 014A,W02000139,Pembrokeshire 014,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000557,22381578.64,,,,,
W01000558,Pembrokeshire 001A,W02000126,Pembrokeshire 001,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000558,44259115.79,,,,,
W01000559,Pembrokeshire 001B,W02000126,Pembrokeshire 001,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000559,65960819.44,,,,,
W01000560,Pembrokeshire 001C,W02000126,Pembrokeshire 001,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000560,68169455.67,,,,,
W01000561,Pembrokeshire 001D,W02000126,Pembrokeshire 001,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000561,28319653.59,,,,,
W01000562,Pembrokeshire 002A,W02000127,Pembrokeshire 002,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000562,100416025.6,,,,,
W01000563,Pembrokeshire 011B,W02000136,Pembrokeshire 011,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000563,24776935.75,,,,,
W01000564,Pembrokeshire 011C,W02000136,Pembrokeshire 011,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000564,1759983.513,,,,,
W01000565,Pembrokeshire 002B,W02000127,Pembrokeshire 002,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000565,2205472.538,,,,,
W01000566,Pembrokeshire 002C,W02000127,Pembrokeshire 002,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000566,1671564.301,,,,,
W01000567,Pembrokeshire 002D,W02000127,Pembrokeshire 002,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000567,3683067.69,,,,,
W01000568,Pembrokeshire 005A,W02000130,Pembrokeshire 005,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000568,680123.3817,,,,,
W01000569,Pembrokeshire 005B,W02000130,Pembrokeshire 005,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000569,1592446.67,,,,,
W01000570,Pembrokeshire 005C,W02000130,Pembrokeshire 005,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000570,281805.3868,,,,,
W01000571,Pembrokeshire 006A,W02000131,Pembrokeshire 006,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000571,1155806.247,,,,,
W01000572,Pembrokeshire 005D,W02000130,Pembrokeshire 005,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000572,1473528.373,,,,,
W01000573,Pembrokeshire 006B,W02000131,Pembrokeshire 006,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000573,1997734.884,,,,,
W01000574,Pembrokeshire 015A,W02000140,Pembrokeshire 015,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000574,95821512.83,,,,,
W01000575,Pembrokeshire 008C,W02000133,Pembrokeshire 008,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000575,25008704.58,,,,,
W01000576,Pembrokeshire 011D,W02000136,Pembrokeshire 011,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000576,19536280.19,,,,,
W01000577,Pembrokeshire 007A,W02000132,Pembrokeshire 007,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000577,45672513.75,,,,,
W01000578,Pembrokeshire 014B,W02000139,Pembrokeshire 014,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000578,24305048.76,,,,,
W01000579,Pembrokeshire 003A,W02000128,Pembrokeshire 003,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000579,58894827.63,,,,,
W01000580,Pembrokeshire 009B,W02000134,Pembrokeshire 009,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000580,14772328.06,,,,,
W01000581,Pembrokeshire 003B,W02000128,Pembrokeshire 003,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000581,52711418.68,,,,,
W01000582,Pembrokeshire 004A,W02000129,Pembrokeshire 004,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000582,93617912.51,,,,,
W01000583,Pembrokeshire 004B,W02000129,Pembrokeshire 004,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000583,30010464.9,,,,,
W01000584,Pembrokeshire 014C,W02000139,Pembrokeshire 014,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000584,24720744.24,,,,,
W01000585,Pembrokeshire 007B,W02000132,Pembrokeshire 007,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000585,83117244.34,,,,,
W01000586,Pembrokeshire 006C,W02000131,Pembrokeshire 006,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000586,6742916.114,,,,,
W01000587,Pembrokeshire 010A,W02000135,Pembrokeshire 010,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000587,675000.281,,,,,
W01000588,Pembrokeshire 010B,W02000135,Pembrokeshire 010,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000588,4964840.332,,,,,
W01000589,Pembrokeshire 012A,W02000137,Pembrokeshire 012,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000589,247763.6847,,,,,
W01000590,Pembrokeshire 012B,W02000137,Pembrokeshire 012,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000590,415699.5612,,,,,
W01000591,Pembrokeshire 012C,W02000137,Pembrokeshire 012,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000591,4395640.251,,,,,
W01000592,Pembrokeshire 012D,W02000137,Pembrokeshire 012,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000592,543976.6563,,,,,
W01000593,Pembrokeshire 010C,W02000135,Pembrokeshire 010,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000593,3452253.835,,,,,
W01000594,Pembrokeshire 012E,W02000137,Pembrokeshire 012,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000594,734890.1851,,,,,
W01000595,Pembrokeshire 007C,W02000132,Pembrokeshire 007,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000595,881357.6707,,,,,
W01000596,Pembrokeshire 007D,W02000132,Pembrokeshire 007,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000596,25331285.13,,,,,
W01000597,Pembrokeshire 002E,W02000127,Pembrokeshire 002,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000597,17673853.11,,,,,
W01000598,Pembrokeshire 009C,W02000134,Pembrokeshire 009,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000598,1296439.752,,,,,
W01000599,Pembrokeshire 009D,W02000134,Pembrokeshire 009,Pembrokeshire,Hywel Dda University Health Board,Hywel Dda University Health Board,Pembrokeshire,Dyfed-Powys,Wales,W01000599,10997896.97,,,,,
